Index,Fiscal_Week_ID,Store_ID,Item_ID,Price,Item_Quantity,Sales_Amount_No_Discount,Sales_Amount,Competition_Price,price_change,qty_change,elasticity,price_bracket,competition_price_bracket,competition_sales_amt,Price_avg,Item_Quantity_avg,segment,dynamic_price
10,2019-03-18,store_709,item_526,136.79,459,4890.43,11545.08,206.44,0.01710164324485075,0.05517241379310356,3.22614692653677,101-150,201-250,94755.95999999999,132.0612244897959,21792,Medium,143.6295
20,2019-03-18,store_442,item_526,138.67,458,4933.46,11517.46,206.44,0.013743694714525967,-0.002178649237472796,-0.15851990914569292,101-150,201-250,94549.52,132.0612244897959,21792,Medium,145.6035
30,2019-03-18,store_136,item_526,128.93,459,4962.56,11216.19,206.44,-0.07023869618518774,0.0021834061135370675,-0.031085515992216185,101-150,201-250,94755.95999999999,132.0612244897959,21792,Medium,135.37650000000002
40,2019-03-18,store_601,item_526,134.45,436,4704.89,10980.31,206.44,0.04281393003955625,-0.050108932461873645,-1.1703885257806856,101-150,201-250,90007.84,132.0612244897959,21792,Medium,141.17249999999999
50,2019-03-18,store_458,item_526,134.13,435,4558.87,11168.1,206.44,-0.0023800669393826412,-0.002293577981651418,0.9636611238532402,101-150,201-250,89801.4,132.0612244897959,21792,Medium,140.8365
60,2019-03-18,store_162,item_526,134.78,428,4649.21,11447.38,206.44,0.004846044881831046,-0.016091954022988464,-3.320636604774536,101-150,201-250,88356.31999999999,132.0612244897959,21792,Medium,141.519
70,2019-03-18,store_30,item_526,132.66,462,4518.48,10847.7,206.44,-0.01572933669683929,0.07943925233644866,-5.050387938635167,101-150,201-250,95375.28,132.0612244897959,21792,Medium,139.293
80,2019-03-18,store_594,item_526,131.37,435,4667.33,10830.14,206.44,-0.009724106739032012,-0.058441558441558406,6.009966777408696,101-150,201-250,89801.4,132.0612244897959,21792,Medium,137.9385
90,2019-03-18,store_197,item_526,128.61,452,4592.87,11403.42,206.44,-0.021009362868234738,0.03908045977011487,-1.8601449275362303,101-150,201-250,93310.88,132.0612244897959,21792,Medium,135.0405
100,2019-03-18,store_459,item_741,278.99,384,5040.08,13896.08,308.55,1.1692714407899851,-0.1504424778761062,-0.12866343316695053,251-300,301-350,118483.20000000001,272.3498,19032,High,251.091
